species,name,HSG,singleton,HSG name
29501,Mycoplasma haemofelis,2093:4,False,Mycoplasma:HSG4
50052,Mycoplasma crocodyli,2093:15,True,Mycoplasma:HSG15
51364,Mycoplasma cottewii,2093:2,False,Mycoplasma:HSG2
51365,Mycoplasma yeatsii,2093:2,False,Mycoplasma:HSG2
57372,Mycoplasma suis,2093:17,True,Mycoplasma:HSG17
65123,Mycoplasma wenyonii,2093:18,True,Mycoplasma:HSG18
136241,Mycoplasma haemocanis,2093:4,False,Mycoplasma:HSG4
141391,Candidatus Mycoplasma haematolamae,2093:10,True,Mycoplasma:HSG10
171632,Mycoplasma ovis,2093:11,True,Mycoplasma:HSG11
292461,Mycoplasma iguanae,2093:16,True,Mycoplasma:HSG16
353852,Mycoplasma nasistruthionis,2093:7,True,Mycoplasma:HSG7
512749,Mycoplasma seminis,2093:19,True,Mycoplasma:HSG19
519450,Mycoplasma anserisalpingitidis,2093:12,True,Mycoplasma:HSG12
538220,Mycoplasma struthionis,2093:20,True,Mycoplasma:HSG20
547987,Mycoplasma tauri,2093:14,True,Mycoplasma:HSG14
754515,Mycoplasma miroungigenitalium,2093:9,True,Mycoplasma:HSG9
754516,Mycoplasma miroungirhinis,2093:13,True,Mycoplasma:HSG13
754517,Mycoplasma phocoenae,2093:8,True,Mycoplasma:HSG8
984991,Mycoplasma parvum,2093:5,True,Mycoplasma:HSG5
1179777,Mycoplasma feriruminatoris,2093:1,False,Mycoplasma:HSG1
1612150,Mycoplasma tullyi,2093:0,False,Mycoplasma:HSG0
2726117,Mycoplasma phocoeninasale,2093:3,True,Mycoplasma:HSG3
2963128,Mycoplasma bradburyae,2093:0,False,Mycoplasma:HSG0
3004105,Candidatus Mycoplasma mahonii,2093:6,True,Mycoplasma:HSG6
1069220,Mycolicibacillus koreensis,2126281:0,False,Mycolicibacillus:HSG0
1069221,Mycolicibacillus parakoreensis,2126281:0,False,Mycolicibacillus:HSG0
2708079,Paramicrobacterium fandaimingii,3110364:1,True,Paramicrobacterium:HSG1
2769067,Paramicrobacterium chengjingii,3110364:0,True,Paramicrobacterium:HSG0
971,Selenomonas ruminantium,970:2,True,Selenomonas:HSG2
69823,Selenomonas sputigena,970:1,True,Selenomonas:HSG1
135079,Selenomonas dianae,970:0,True,Selenomonas:HSG0
207340,Roseomonas mucosa,125216:0,False,Roseomonas:HSG0
257708,Roseomonas gilardii,125216:0,False,Roseomonas:HSG0
1750527,Roseomonas fluvialis,125216:2,True,Roseomonas:HSG2
2768161,Roseomonas marmotae,125216:3,True,Roseomonas:HSG3
2768162,Roseomonas haemaphysalidis,125216:1,True,Roseomonas:HSG1
168935,Thalassospira lucentensis,168934:0,False,Thalassospira:HSG0
220697,Thalassospira xiamenensis,168934:0,False,Thalassospira:HSG0
1891279,Thalassospira indica,168934:2,True,Thalassospira:HSG2
2048283,Thalassospira marina,168934:1,True,Thalassospira:HSG1
1589,Lactiplantibacillus pentosus,2767842:0,False,Lactiplantibacillus:HSG0
1590,Lactiplantibacillus plantarum,2767842:0,False,Lactiplantibacillus:HSG0
60520,Lactiplantibacillus paraplantarum,2767842:0,False,Lactiplantibacillus:HSG0
271881,Lactiplantibacillus argentoratensis,2767842:0,False,Lactiplantibacillus:HSG0
2993456,Lactiplantibacillus carotarum,2767842:0,False,Lactiplantibacillus:HSG0
367791,Flammeovirga yaeyamensis,59739:1,True,Flammeovirga:HSG1
373891,Flammeovirga kamogawensis,59739:0,False,Flammeovirga:HSG0
2494373,Flammeovirga pectinis,59739:0,False,Flammeovirga:HSG0
53946,Octadecabacter arcticus,53945:0,False,Octadecabacter:HSG0
1217908,Octadecabacter antarcticus,53945:0,False,Octadecabacter:HSG0
1458307,Octadecabacter temperatus,53945:1,True,Octadecabacter:HSG1
285091,Alloalcanivorax dieselolei,3020832:0,False,Alloalcanivorax:HSG0
1094342,Alloalcanivorax xenomutans,3020832:0,False,Alloalcanivorax:HSG0
399497,Tessaracoccus flavescens,72763:6,True,Tessaracoccus:HSG6
1285901,Tessaracoccus defluvii,72763:4,True,Tessaracoccus:HSG4
1332264,Tessaracoccus aquimaris,72763:5,True,Tessaracoccus:HSG5
1427523,Tessaracoccus lapidicaptus,72763:2,True,Tessaracoccus:HSG2
1610493,Tessaracoccus flavus,72763:3,True,Tessaracoccus:HSG3
2161816,Tessaracoccus timonensis,72763:1,True,Tessaracoccus:HSG1
2829499,Tessaracoccus palaemonis,72763:0,False,Tessaracoccus:HSG0
3041766,Tessaracoccus lacteus,72763:0,False,Tessaracoccus:HSG0
2211106,Thiomicrorhabdus aquaedulcis,2039723:5,True,Thiomicrorhabdus:HSG5
2267253,Thiomicrorhabdus indica,2039723:3,True,Thiomicrorhabdus:HSG3
2580412,Thiomicrorhabdus sediminis,2039723:4,True,Thiomicrorhabdus:HSG4
2739063,Thiomicrorhabdus xiamenensis,2039723:1,True,Thiomicrorhabdus:HSG1
2791037,Thiomicrorhabdus immobilis,2039723:2,True,Thiomicrorhabdus:HSG2
2949997,Thiomicrorhabdus lithotrophica,2039723:0,True,Thiomicrorhabdus:HSG0
29581,Janthinobacterium lividum,29580:0,False,Janthinobacterium:HSG0
55508,Janthinobacterium agaricidamnosum,29580:0,False,Janthinobacterium:HSG0
368607,Janthinobacterium svalbardensis,29580:0,False,Janthinobacterium:HSG0
2590869,Janthinobacterium tructae,29580:0,False,Janthinobacterium:HSG0
2751478,Janthinobacterium rivuli,29580:0,False,Janthinobacterium:HSG0
158899,Collimonas fungivorans,202907:0,False,Collimonas:HSG0
279058,Collimonas arenae,202907:0,False,Collimonas:HSG0
279113,Collimonas pratensis,202907:0,False,Collimonas:HSG0
214888,Williamsoniiplasma luminosum,2919614:1,True,Williamsoniiplasma:HSG1
215578,Williamsoniiplasma somnilux,2919614:0,True,Williamsoniiplasma:HSG0
164759,Diaphorobacter nitroreducens,238749:1,False,Diaphorobacter:HSG1
721785,[Acidovorax] ebreus,238749:1,False,Diaphorobacter:HSG1
1288495,Diaphorobacter aerolatus,238749:0,False,Diaphorobacter:HSG0
1715720,Diaphorobacter ruginosibacter,238749:0,False,Diaphorobacter:HSG0
3036128,Diaphorobacter limosus,238749:2,True,Diaphorobacter:HSG2
781,Rickettsia conorii,780:0,False,Rickettsia:HSG0
782,Rickettsia prowazekii,780:1,False,Rickettsia:HSG1
783,Rickettsia rickettsii,780:0,False,Rickettsia:HSG0
785,Rickettsia typhi,780:1,False,Rickettsia:HSG1
786,Rickettsia akari,780:2,True,Rickettsia:HSG2
787,Rickettsia australis,780:0,False,Rickettsia:HSG0
788,Rickettsia canadensis,780:4,True,Rickettsia:HSG4
33989,Rickettsia amblyommatis,780:0,False,Rickettsia:HSG0
33990,Rickettsia bellii,780:0,False,Rickettsia:HSG0
33991,Rickettsia montanensis,780:0,False,Rickettsia:HSG0
33992,Rickettsia rhipicephali,780:0,False,Rickettsia:HSG0
35788,Rickettsia africae,780:0,False,Rickettsia:HSG0
35790,Rickettsia japonica,780:0,False,Rickettsia:HSG0
35791,Rickettsia massiliae,780:0,False,Rickettsia:HSG0
35792,Rickettsia parkeri,780:0,False,Rickettsia:HSG0
35793,Rickettsia sibirica,780:0,False,Rickettsia:HSG0
35794,Rickettsia slovaca,780:0,False,Rickettsia:HSG0
47589,Rickettsia peacockii,780:0,False,Rickettsia:HSG0
109232,Rickettsia monacensis,780:0,False,Rickettsia:HSG0
238800,Rickettsia asiatica,780:0,False,Rickettsia:HSG0
1068590,Rickettsia asembonensis,780:3,True,Rickettsia:HSG3
1105106,Rickettsia philipii,780:0,False,Rickettsia:HSG0
2761623,Rickettsia tillamookensis,780:0,False,Rickettsia:HSG0
106634,Thioalkalivibrio versutus,106633:2,True,Thioalkalivibrio:HSG2
108010,Thioalkalivibrio paradoxus,106633:0,False,Thioalkalivibrio:HSG0
186931,Thioalkalivibrio nitratireducens,106633:0,False,Thioalkalivibrio:HSG0
1033854,Thioalkalivibrio sulfidiphilus,106633:1,True,Thioalkalivibrio:HSG1
75985,Mannheimia haemolytica,75984:3,True,Mannheimia:HSG3
85402,Mannheimia granulomatis,75984:2,True,Mannheimia:HSG2
85404,Mannheimia varigena,75984:4,True,Mannheimia:HSG4
111844,Mannheimia pernigra,75984:1,True,Mannheimia:HSG1
2770636,Mannheimia bovis,75984:0,True,Mannheimia:HSG0
137584,Thalassomonas viridans,137583:1,True,Thalassomonas:HSG1
485447,Thalassomonas actiniarum,137583:2,True,Thalassomonas:HSG2
485448,Thalassomonas haliotis,137583:0,True,Thalassomonas:HSG0
2569540,Desulfosediminicola ganghwensis,2886823:1,True,Desulfosediminicola:HSG1
2569541,Desulfosediminicola flagellatus,2886823:0,True,Desulfosediminicola:HSG0
2047,Rothia dentocariosa,32207:6,True,Rothia:HSG6
37923,Rothia kristinae,32207:3,True,Rothia:HSG3
43675,Rothia mucilaginosa,32207:5,True,Rothia:HSG5
85336,Rothia nasimurium,32207:4,True,Rothia:HSG4
169480,Rothia amarae,32207:1,True,Rothia:HSG1
172042,Rothia aeria,32207:2,True,Rothia:HSG2
396015,Rothia terrae,32207:0,True,Rothia:HSG0
184917,Solidesulfovibrio magneticus,2910984:0,False,Solidesulfovibrio:HSG0
296842,Solidesulfovibrio carbinolicus,2910984:0,False,Solidesulfovibrio:HSG0
750,Gallibacterium anatis,155493:1,True,Gallibacterium:HSG1
505341,Gallibacterium salpingitidis,155493:0,True,Gallibacterium:HSG0
74426,Collinsella aerofaciens,102106:1,True,Collinsella:HSG1
147206,Collinsella stercoris,102106:0,True,Collinsella:HSG0
33952,Acetobacterium woodii,33951:1,True,Acetobacterium:HSG1
52694,Acetobacterium wieringae,33951:0,True,Acetobacterium:HSG0
