species,name,HSG,singleton,HSG name
80878,Acidovorax temperans,12916:1,True,Acidovorax:HSG1
553814,Acidovorax carolinensis,12916:2,True,Acidovorax:HSG2
758826,Acidovorax radicis,12916:0,True,Acidovorax:HSG0
284016,Phenylobacterium zucineum,20:2,True,Phenylobacterium:HSG2
2201350,Phenylobacterium parvum,20:1,True,Phenylobacterium:HSG1
2823693,Phenylobacterium montanum,20:0,True,Phenylobacterium:HSG0
1585976,Bergeyella cardium,59735:1,True,Bergeyella:HSG1
1735111,Bergeyella porcorum,59735:0,True,Bergeyella:HSG0
28197,Aliarcobacter butzleri,2321111:3,True,Aliarcobacter:HSG3
28198,Aliarcobacter cryaerophilus,2321111:0,False,Aliarcobacter:HSG0
28200,Aliarcobacter skirrowii,2321111:0,False,Aliarcobacter:HSG0
255507,Aliarcobacter cibarius,2321111:4,True,Aliarcobacter:HSG4
544718,Aliarcobacter thereius,2321111:1,True,Aliarcobacter:HSG1
708186,Aliarcobacter trophiarum,2321111:0,False,Aliarcobacter:HSG0
1355374,Aliarcobacter lanthieri,2321111:2,False,Aliarcobacter:HSG2
